Location,Latitude,Longitude
Organ Lily,23.79854733,90.37023781
Shewrapara,23.7894987935148,90.37602422433598
Agargaon,23.77853941,90.38000406
Chandrima Uddan,23.76527255,90.38316153
Khamar Bari,23.75896726,90.38392505
Bijoy Sarani,23.76436995,90.38890505
Farmgate,23.7576877,90.39017607
Kamal Sarani,23.78676649,90.36691438
National Museum,23.77978375,90.36803178
Sher-e-Bangla Road,23.77507395,90.37406008
University of Asia Pacific,23.75495619,90.3890392
